ID,Source,TMC,Severity,Start_Time,End_Time,Latitude,Longitude,End_Lat,End_Lng,Distance(mi),EventSeverity,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-194265,MapQuest,229,3,11/30/2016 15:34,11/30/2016 17:06,41.84576,-71.410995,,,0.01,Slow traffic and right hand shoulder blocked due to accident on I-95 Northbound at Exit 24 Branch Ave.,,Branch Ave,R,Providence,Providence,RI,2904,US,US/Eastern,KSFZ,11/30/2016 15:56,46.9,,97.0,30.01,10.0,ENE,9.2,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194266,MapQuest,201,3,11/30/2016 16:19,11/30/2016 17:03,41.800949,-71.402985,,,0.01,Right hand shoulder blocked due to accident on I-95 Northbound at Exit 18 US-1 Alt Allens Ave.,,I-95 N,R,Providence,Providence,RI,2905,US,US/Eastern,KPVD,11/30/2016 15:51,48.9,,90.0,29.95,10.0,ENE,6.9,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-194267,MapQuest,201,3,11/30/2016 15:58,11/30/2016 16:57,41.882149,-71.377525,,,0.01,Left lane blocked due to accident on I-95 Northbound at Exit 29 US-1.,,Broadway,R,Pawtucket,Providence,RI,2860,US,US/Eastern,KSFZ,11/30/2016 15:56,46.9,,97.0,30.01,10.0,ENE,9.2,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194275,MapQuest,201,2,11/30/2016 17:13,11/30/2016 17:42,41.750015,-71.451889,,,0.01,Right hand shoulder blocked due to accident on RI-37 Westbound at Exit 3 Pontiac Ave.,,Pontiac Ave,R,Cranston,Providence,RI,2920,US,US/Eastern,KPVD,11/30/2016 16:54,48.0,,89.0,29.94,10.0,ENE,9.2,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-194276,MapQuest,241,3,11/30/2016 17:12,11/30/2016 17:42,41.83617,-71.415436,,,0.01,Left lane blocked due to accident on I-95 Southbound at Exit 23 RI-146 Louisquisset Pike.,,I-95 S,R,Providence,Providence,RI,2908,US,US/Eastern,KSFZ,11/30/2016 16:56,46.0,41.9,96.0,30.0,9.0,East,8.1,0.04,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-194289,MapQuest,241,2,11/30/2016 18:18,11/30/2016 18:48,41.62936,-71.486801,,,0.01,Right lane blocked due to accident on RI-4 Southbound at Exits 7 7B-A RI-402 Frenchtown Rd.,,RI-4 N,R,East Greenwich,Kent,RI,2818,US,US/Eastern,KPVD,11/30/2016 18:11,48.0,,89.0,29.9,10.0,East,9.2,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-194290,MapQuest,241,3,11/30/2016 18:17,11/30/2016 18:47,41.800594,-71.403076,,,0.01,Right lane blocked due to accident on I-95 Northbound at Exit 18 US-1 Alt Allens Ave.,,Thurbers Ave,R,Providence,Providence,RI,2905,US,US/Eastern,KPVD,11/30/2016 18:11,48.0,,89.0,29.9,10.0,East,9.2,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-194291,MapQuest,201,3,11/30/2016 18:19,11/30/2016 18:48,41.819302,-71.389595,,,0.01,Left hand shoulder blocked due to accident on I-195 Eastbound at Exit 3 Washington Bridge.,,Gano St,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,11/30/2016 18:11,48.0,,89.0,29.9,10.0,East,9.2,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-194303,MapQuest,241,3,11/30/2016 19:04,11/30/2016 19:34,41.873158,-71.387466,,,0.01,Right lane blocked due to accident on I-95 Northbound at Exits 27 28 US-1 George St.,,George St,R,Pawtucket,Providence,RI,2860,US,US/Eastern,KSFZ,11/30/2016 18:56,46.0,41.0,96.0,29.96,10.0,East,10.4,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-194397,MapQuest,201,2,12/1/2016 8:01,12/1/2016 8:31,41.868397,-71.43087,,,0.01,Left lane blocked and left hand shoulder blocked due to accident on RI-146 Eddie Dowling Hwy Southbound at RI-15 Mineral Spring Ave.,,Mineral Spring Ave,R,Providence,Providence,RI,2904,US,US/Eastern,KSFZ,12/1/2016 7:56,46.0,43.1,100.0,29.53,10.0,West,5.8,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194414,MapQuest,245,2,12/1/2016 8:14,12/1/2016 8:44,41.821945,-71.470184,,,0.01,Two lanes blocked due to accident on US-6 Eastbound at RI-128 Killingly St.,,Killingly St,R,Providence,Providence,RI,2909,US,US/Eastern,KPVD,12/1/2016 7:51,52.0,,80.0,29.47,10.0,West,6.9,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194428,MapQuest,201,3,12/1/2016 9:04,12/1/2016 9:33,41.804562,-71.510948,,,0.01,Right hand shoulder blocked due to accident on I-295 Southbound near Exit 5 Scituate Ave.,,Scituate Ave,R,Johnston,Providence,RI,2919,US,US/Eastern,KSFZ,12/1/2016 8:56,50.0,,86.0,29.57,10.0,WNW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194437,MapQuest,201,3,12/1/2016 9:21,12/1/2016 9:50,41.882149,-71.377525,,,0.01,Right hand shoulder blocked and right lane blocked due to accident on I-95 Southbound at Exit 29 US-1.,,Broadway,R,Pawtucket,Providence,RI,2860,US,US/Eastern,KSFZ,12/1/2016 8:56,50.0,,86.0,29.57,10.0,WNW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194472,MapQuest,245,3,12/1/2016 11:52,12/1/2016 12:22,41.83617,-71.415436,,,0.01,Two lanes blocked and delays due to accident on I-95 Southbound at Exit 23 RI-146 Louisquisset Pike.,,I-95 S,R,Providence,Providence,RI,2908,US,US/Eastern,KSFZ,12/1/2016 11:56,53.1,,64.0,29.59,10.0,WNW,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194483,MapQuest,241,2,12/1/2016 14:20,12/1/2016 15:05,41.82589,-71.42588,,,0.01,Left lane blocked slow traffic left hand shoulder blocked and right hand shoulder blocked due to accident on US-6 Eastbound at Dean St.,,US-6 W,R,Providence,Providence,RI,2903,US,US/Eastern,KPVD,12/1/2016 13:51,57.0,,47.0,29.54,10.0,West,15.0,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-194497,MapQuest,241,2,12/1/2016 16:39,12/1/2016 17:23,41.753174,-71.464363,,,0.01,Left lane blocked and slow traffic due to accident on RI-37 Eastbound at Exits 2A 2B RI-2 New London Ave.,,RI-37 E,R,Cranston,Providence,RI,2920,US,US/Eastern,KPVD,12/1/2016 16:51,51.1,,50.0,29.62,10.0,NW,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
